Feature	RBP	Position	Statistic	P-Val	Global SHAP	FDR P-Val
GPKOW_3_right	GPKOW	6	49.64889705612784	1.6553086631785674e-11	0.0020798324451350237	2.4296151096746192e-11
EEF2_3_left	EEF2	5	49.41931870768786	1.856655348126024e-11	0.0	2.7201366037802226e-11
MORC2_3_right	MORC2	6	48.670983236062824	2.69917023363897e-11	0.0	3.947226928826164e-11
TROVE2_center_right	TROVE2	4	47.990959668748985	3.792237402433274e-11	0.0003517276370891502	5.535555329192893e-11
XRCC6_3_left	XRCC6	5	46.940514813416954	6.412047330216232e-11	0.00011418963346547601	9.342599126475936e-11
EIF3G_center_right	EIF3G	4	46.65411084729279	7.399264469733883e-11	5.84396591269816e-06	1.0761339018937783e-10
KHDRBS1_3_left	KHDRBS1	5	45.984539681627986	1.0341512987518147e-10	0.0002633079895057448	1.5013088981879713e-10
MORC2_5_right	MORC2	2	45.88889528618931	1.0848082972783651e-10	0.00021912224364493968	1.5719858416924673e-10
HLTF_3_left	HLTF	5	45.80725236442417	1.1300080399832602e-10	0.0	1.6345125369630824e-10
YWHAG_center_left	YWHAG	3	45.69466285420479	1.1954461976397336e-10	0.00033915924492854794	1.7260337310124412e-10
EWSR1_5_left	EWSR1	1	45.47205369648658	1.3361924066480806e-10	0.00028664810445950937	1.9257601231437978e-10
AATF_5_right	AATF	2	44.883858053378695	1.793056854471589e-10	0.0001532495768116633	2.5795420812524484e-10
SRSF1_5_left	SRSF1	1	44.499402561516284	2.1730889816259227e-10	0.0006207884184534733	3.1206340871276764e-10
EEF2_center_right	EEF2	4	43.83924843220126	3.0229304658822076e-10	0.0	4.3332294627843876e-10
PHF6_5_left	PHF6	1	43.38757965161957	3.7888445484539067e-10	0.0	5.421380799134225e-10
AKAP1_5_right	AKAP1	2	43.207998201392925	4.1447887789040693e-10	0.0	5.920065693165849e-10
TAF15_5_right	TAF15	2	43.019163726813794	4.5551983099843183e-10	0.0	6.494620846256711e-10
MATR3_3_left	MATR3	5	41.93639346256469	7.82758629427735e-10	0.0002782194311572723	1.1140332636676872e-09
HNRNPA1_center_left	HNRNPA1	3	41.37192439218093	1.0380081546765471e-09	0.0	1.474674686768642e-09
SSB_center_right	SSB	4	41.286107830930185	1.0835166638023501e-09	0.0	1.5365885783816247e-09
SRSF1_3_left	SRSF1	5	40.75721344971624	1.4115086714031077e-09	0.0008251709523401355	1.9981747977056427e-09
AKAP1_5_left	AKAP1	1	40.41665050666672	1.6735390631988635e-09	0.0	2.3649124705132874e-09
