Interaction	RBP 1	RBP 2	Rec-Y2H	Street et al | IP-MS	Street et al | IP/SEC-MS (Both)	K562 - Both eCLIP	HepG2 - Both eCLIP
CSTF2T-PCBP2	CSTF2T	PCBP2	false	true	false	false	true
CSTF2T-PHF6	CSTF2T	PHF6		false	false	true	false
CSTF2T-POLR2G	CSTF2T	POLR2G		false	false	false	true
CSTF2T-PPIG	CSTF2T	PPIG	false	false	false	false	true
CSTF2T-PPIL4	CSTF2T	PPIL4	false	false	false	true	false
CSTF2T-PRPF4	CSTF2T	PRPF4	false	false	false	false	true
CSTF2T-PRPF8	CSTF2T	PRPF8		false	false	true	true
CSTF2T-PTBP1	CSTF2T	PTBP1	false	false	false	true	true
CSTF2T-PUM1	CSTF2T	PUM1		false	false	true	false
CSTF2T-PUM2	CSTF2T	PUM2	false	false	false	true	false
CSTF2T-PUS1	CSTF2T	PUS1		false	false	true	false
CSTF2T-QKI	CSTF2T	QKI	false	false	false	true	true
CSTF2T-RBFOX2	CSTF2T	RBFOX2	false	false	false	true	true
CSTF2T-RBM15	CSTF2T	RBM15	false	false	false	true	true
CSTF2T-RBM22	CSTF2T	RBM22	false	false	false	true	true
CSTF2T-RBM5	CSTF2T	RBM5	false	false	false	false	true
CSTF2T-RNF187	CSTF2T	RNF187		false	false	true	false
CSTF2T-RPS10	CSTF2T	RPS10	false	false	false	true	false
CSTF2T-RPS11	CSTF2T	RPS11	false	false	false	true	false
CSTF2T-RPS3	CSTF2T	RPS3	false	false	false	true	true
CSTF2T-RPS6	CSTF2T	RPS6	false	false	false	true	false
CSTF2T-RYBP	CSTF2T	RYBP	false	false	false	true	false
CSTF2T-SAFB	CSTF2T	SAFB		false	false	true	true
CSTF2T-SAFB2	CSTF2T	SAFB2	false	false	false	true	false
CSTF2T-SBDS	CSTF2T	SBDS	false	false	false	true	false
CSTF2T-SDAD1	CSTF2T	SDAD1		false	false	true	true
CSTF2T-SERBP1	CSTF2T	SERBP1	false	false	false	true	false
CSTF2T-SF3A3	CSTF2T	SF3A3	false	false	false	false	true
CSTF2T-SF3B1	CSTF2T	SF3B1		false	false	true	false
CSTF2T-SF3B4	CSTF2T	SF3B4	false	false	false	true	true
CSTF2T-SFPQ	CSTF2T	SFPQ	true	false	false	false	true
CSTF2T-SLBP	CSTF2T	SLBP		false	false	true	false
CSTF2T-SLTM	CSTF2T	SLTM		false	false	true	true
CSTF2T-SMNDC1	CSTF2T	SMNDC1	false	false	false	true	true
CSTF2T-SND1	CSTF2T	SND1		false	false	true	true
CSTF2T-SRSF1	CSTF2T	SRSF1	false	false	false	true	true
CSTF2T-SRSF7	CSTF2T	SRSF7	false	true	false	true	true
CSTF2T-SRSF9	CSTF2T	SRSF9	false	false	false	true	true
CSTF2T-SSB	CSTF2T	SSB		false	false	true	true
CSTF2T-STAU2	CSTF2T	STAU2	false	false	false	false	true
CSTF2T-SUB1	CSTF2T	SUB1	false	false	false	false	true
CSTF2T-SUGP2	CSTF2T	SUGP2	false	false	false	false	true
CSTF2T-SUPV3L1	CSTF2T	SUPV3L1	false	false	false	true	true
CSTF2T-TAF15	CSTF2T	TAF15	true	false	false	true	true
CSTF2T-TARDBP	CSTF2T	TARDBP	false	false	false	true	true
CSTF2T-TBRG4	CSTF2T	TBRG4	false	false	false	true	true
CSTF2T-TIA1	CSTF2T	TIA1	false	false	false	true	true
CSTF2T-TIAL1	CSTF2T	TIAL1	false	false	false	false	true
CSTF2T-TRA2A	CSTF2T	TRA2A	false	false	false	true	true
CSTF2T-TROVE2	CSTF2T	TROVE2		false	false	true	true
CSTF2T-U2AF1	CSTF2T	U2AF1	false	false	false	true	true
CSTF2T-U2AF2	CSTF2T	U2AF2	false	false	false	true	true
CSTF2T-UCHL5	CSTF2T	UCHL5	false	false	false	true	true
CSTF2T-UPF1	CSTF2T	UPF1		false	false	true	true
CSTF2T-UTP18	CSTF2T	UTP18	false	false	false	true	true
CSTF2T-UTP3	CSTF2T	UTP3	false	false	false	true	false
CSTF2T-WDR3	CSTF2T	WDR3	false	false	false	true	false
CSTF2T-WDR43	CSTF2T	WDR43		false	false	true	true
CSTF2T-WRN	CSTF2T	WRN		false	false	true	false
CSTF2T-XPO5	CSTF2T	XPO5	false	false	false	false	true
CSTF2T-XRCC6	CSTF2T	XRCC6	false	false	false	true	true
CSTF2T-XRN2	CSTF2T	XRN2	false	false	false	true	true
CSTF2T-YBX3	CSTF2T	YBX3		false	false	true	true
CSTF2T-YWHAG	CSTF2T	YWHAG	false	false	false	true	false
CSTF2T-ZC3H11A	CSTF2T	ZC3H11A	false	false	false	true	true
CSTF2T-ZC3H8	CSTF2T	ZC3H8	false	false	false	true	false
CSTF2T-ZNF622	CSTF2T	ZNF622		false	false	true	false
CSTF2T-ZNF800	CSTF2T	ZNF800		false	false	true	true
CSTF2T-ZRANB2	CSTF2T	ZRANB2	false	false	false	true	false
DDX1-DDX21	DDX1	DDX21	false			true	false
DDX1-DDX24	DDX1	DDX24				true	false
DDX1-DDX3X	DDX1	DDX3X	false	false	false	true	false
DDX1-DDX42	DDX1	DDX42	false			true	false
DDX1-DDX43	DDX1	DDX43				true	false
DDX1-DDX47	DDX1	DDX47	false			true	false
DDX1-DDX51	DDX1	DDX51				true	false
DDX1-DDX52	DDX1	DDX52	false			true	false
DDX1-DDX55	DDX1	DDX55				true	false
DDX1-DDX6	DDX1	DDX6	false			true	false
DDX1-DGCR8	DDX1	DGCR8		false	false	true	false
DDX1-DHX30	DDX1	DHX30	false			true	false
DDX1-DROSHA	DDX1	DROSHA				true	false
DDX1-EEF2	DDX1	EEF2	false			true	false
DDX1-EFTUD2	DDX1	EFTUD2	false			true	false
DDX1-EIF3G	DDX1	EIF3G	false			true	false
DDX1-EIF4E	DDX1	EIF4E	false	false	false	true	false
DDX1-EIF4G2	DDX1	EIF4G2		false	false	true	false
DDX1-ELAC2	DDX1	ELAC2	false			true	false
DDX1-ELAVL1	DDX1	ELAVL1	false			true	false
DDX1-EWSR1	DDX1	EWSR1	false	false	false	true	false
DDX1-EXOSC10	DDX1	EXOSC10		false	false	true	false
DDX1-EXOSC5	DDX1	EXOSC5	false			true	false
DDX1-FAM120A	DDX1	FAM120A	false			true	false
DDX1-FASTKD2	DDX1	FASTKD2	false			true	false
DDX1-FMR1	DDX1	FMR1	false			true	false
DDX1-FTO	DDX1	FTO				true	false
DDX1-FUS	DDX1	FUS	false	true	false	true	false
DDX1-FXR1	DDX1	FXR1	false			true	false
DDX1-FXR2	DDX1	FXR2	false			true	false
DDX1-GARS	DDX1	GARS				true	false
DDX1-GEMIN5	DDX1	GEMIN5				true	false
DDX1-GNL3	DDX1	GNL3	false			true	false
DDX1-GPKOW	DDX1	GPKOW		false	false	true	false
DDX1-GRWD1	DDX1	GRWD1				true	false
DDX1-GTF2F1	DDX1	GTF2F1	false			true	false
DDX1-HLTF	DDX1	HLTF				true	false
DDX1-HNRNPA1	DDX1	HNRNPA1	false			true	false
DDX1-HNRNPC	DDX1	HNRNPC	false	false	false	true	false
DDX1-HNRNPK	DDX1	HNRNPK	false			true	false
DDX1-HNRNPL	DDX1	HNRNPL		false	false	true	false
DDX1-HNRNPM	DDX1	HNRNPM				true	false
DDX1-HNRNPU	DDX1	HNRNPU	false			true	false
DDX1-HNRNPUL1	DDX1	HNRNPUL1				true	false
DDX1-IGF2BP1	DDX1	IGF2BP1	false	false	false	true	false
DDX1-IGF2BP2	DDX1	IGF2BP2	false	false	false	true	false
DDX1-ILF3	DDX1	ILF3	false			true	false
DDX1-KHDRBS1	DDX1	KHDRBS1	false			true	false
DDX1-KHSRP	DDX1	KHSRP				true	false
DDX1-LARP4	DDX1	LARP4	false			true	false
DDX1-LARP7	DDX1	LARP7	false	false	false	true	false
DDX1-LIN28B	DDX1	LIN28B	false	false	false	true	false
DDX1-LSM11	DDX1	LSM11				true	false
DDX1-MATR3	DDX1	MATR3				true	false
DDX1-MBNL1	DDX1	MBNL1	false			true	false
DDX1-METAP2	DDX1	METAP2				true	false
DDX1-METTL1	DDX1	METTL1				true	false
DDX1-MORC2	DDX1	MORC2				true	false
DDX1-MTPAP	DDX1	MTPAP	false			true	false
DDX1-NCBP2	DDX1	NCBP2				true	false
DDX1-NIPBL	DDX1	NIPBL				true	false
DDX1-NOLC1	DDX1	NOLC1	false			true	false
DDX1-NONO	DDX1	NONO	false			true	false
DDX1-NPM1	DDX1	NPM1	false			true	false
DDX1-NSUN2	DDX1	NSUN2	false			true	false
DDX1-PABPC4	DDX1	PABPC4				true	false
DDX1-PCBP1	DDX1	PCBP1	false			true	false
DDX1-PHF6	DDX1	PHF6				true	false
DDX1-PPIL4	DDX1	PPIL4	false			true	false
DDX1-PRPF8	DDX1	PRPF8		false	false	true	false
DDX1-PTBP1	DDX1	PTBP1	false	false	false	true	false
DDX1-PUM1	DDX1	PUM1				true	false
DDX1-PUM2	DDX1	PUM2	false	false	false	true	false
DDX1-PUS1	DDX1	PUS1				true	false
DDX1-QKI	DDX1	QKI	false			true	false
DDX1-RBFOX2	DDX1	RBFOX2	false	false	false	true	false
DDX1-RBM15	DDX1	RBM15	false			true	false
DDX1-RBM22	DDX1	RBM22	false	false	false	true	false
DDX1-RNF187	DDX1	RNF187				true	false
DDX1-RPS10	DDX1	RPS10	false			true	false
DDX1-RPS11	DDX1	RPS11	false			true	false
DDX1-RPS3	DDX1	RPS3	false	false	false	true	false
DDX1-RPS6	DDX1	RPS6	false	false	false	true	false
DDX1-RYBP	DDX1	RYBP	false			true	false
DDX1-SAFB	DDX1	SAFB				true	false
DDX1-SAFB2	DDX1	SAFB2	false			true	false
DDX1-SBDS	DDX1	SBDS	false			true	false
DDX1-SDAD1	DDX1	SDAD1				true	false
DDX1-SERBP1	DDX1	SERBP1	false			true	false
DDX1-SF3B1	DDX1	SF3B1				true	false
DDX1-SF3B4	DDX1	SF3B4	false	false	false	true	false
DDX1-SLBP	DDX1	SLBP				true	false
DDX1-SLTM	DDX1	SLTM				true	false
DDX1-SMNDC1	DDX1	SMNDC1	false			true	false
DDX1-SND1	DDX1	SND1				true	false
DDX1-SRSF1	DDX1	SRSF1	false	false	false	true	false
DDX1-SRSF7	DDX1	SRSF7	false			true	false
DDX1-SRSF9	DDX1	SRSF9	false			true	false
DDX1-SSB	DDX1	SSB				true	false
DDX1-SUPV3L1	DDX1	SUPV3L1	false			true	false
DDX1-TAF15	DDX1	TAF15	false	false	false	true	false
DDX1-TARDBP	DDX1	TARDBP	false			true	false
DDX1-TBRG4	DDX1	TBRG4	false			true	false
DDX1-TIA1	DDX1	TIA1	false	false	false	true	false
DDX1-TRA2A	DDX1	TRA2A	false			true	false
DDX1-TROVE2	DDX1	TROVE2				true	false
DDX1-U2AF1	DDX1	U2AF1	false			true	false
DDX1-U2AF2	DDX1	U2AF2	false	false	false	true	false
DDX1-UCHL5	DDX1	UCHL5	false			true	false
DDX1-UPF1	DDX1	UPF1				true	false
DDX1-UTP18	DDX1	UTP18	false			true	false
DDX1-UTP3	DDX1	UTP3	false			true	false
DDX1-WDR3	DDX1	WDR3	false			true	false
DDX1-WDR43	DDX1	WDR43				true	false
DDX1-WRN	DDX1	WRN				true	false
DDX1-XRCC6	DDX1	XRCC6	false			true	false
DDX1-XRN2	DDX1	XRN2	false			true	false
DDX1-YBX3	DDX1	YBX3				true	false
DDX1-YWHAG	DDX1	YWHAG	false			true	false
DDX1-ZC3H11A	DDX1	ZC3H11A	false			true	false
DDX1-ZC3H8	DDX1	ZC3H8	false			true	false
DDX1-ZNF622	DDX1	ZNF622				true	false
DDX1-ZNF800	DDX1	ZNF800				true	false
DDX1-ZRANB2	DDX1	ZRANB2	false			true	false
DDX21-DDX24	DDX21	DDX24				true	false
DDX21-DDX3X	DDX21	DDX3X	false	false	false	true	false
DDX21-DDX42	DDX21	DDX42	false			true	false
DDX21-DDX43	DDX21	DDX43				true	false
DDX21-DDX47	DDX21	DDX47	false			true	false
DDX21-DDX51	DDX21	DDX51				true	false
DDX21-DDX52	DDX21	DDX52	false			true	false
DDX21-DDX55	DDX21	DDX55				true	false
DDX21-DDX6	DDX21	DDX6	false			true	false
DDX21-DGCR8	DDX21	DGCR8		false	false	true	false
DDX21-DHX30	DDX21	DHX30	false			true	false
DDX21-DROSHA	DDX21	DROSHA				true	false
DDX21-EEF2	DDX21	EEF2	false			true	false
DDX21-EFTUD2	DDX21	EFTUD2	false			true	false
DDX21-EIF3G	DDX21	EIF3G	false			true	false
DDX21-EIF4E	DDX21	EIF4E	false	false	false	true	false
DDX21-EIF4G2	DDX21	EIF4G2		false	false	true	false
DDX21-ELAC2	DDX21	ELAC2	false			true	false
DDX21-ELAVL1	DDX21	ELAVL1	false			true	false
DDX21-EWSR1	DDX21	EWSR1	false	false	false	true	false
DDX21-EXOSC10	DDX21	EXOSC10		false	false	true	false
DDX21-EXOSC5	DDX21	EXOSC5	false			true	false
DDX21-FAM120A	DDX21	FAM120A	false			true	false
DDX21-FASTKD2	DDX21	FASTKD2	false			true	false
DDX21-FMR1	DDX21	FMR1	false			true	false
DDX21-FTO	DDX21	FTO				true	false
DDX21-FUS	DDX21	FUS	false	false	false	true	false
DDX21-FXR1	DDX21	FXR1	false			true	false
DDX21-FXR2	DDX21	FXR2	false			true	false
DDX21-GARS	DDX21	GARS				true	false
DDX21-GEMIN5	DDX21	GEMIN5				true	false
DDX21-GNL3	DDX21	GNL3	false			true	false
DDX21-GPKOW	DDX21	GPKOW		false	false	true	false
DDX21-GRWD1	DDX21	GRWD1				true	false
DDX21-GTF2F1	DDX21	GTF2F1	false			true	false
DDX21-HLTF	DDX21	HLTF				true	false
DDX21-HNRNPA1	DDX21	HNRNPA1	false			true	false
DDX21-HNRNPC	DDX21	HNRNPC	false	false	false	true	false
DDX21-HNRNPK	DDX21	HNRNPK	false			true	false
DDX21-HNRNPL	DDX21	HNRNPL		false	false	true	false
DDX21-HNRNPM	DDX21	HNRNPM				true	false
DDX21-HNRNPU	DDX21	HNRNPU	false			true	false
DDX21-HNRNPUL1	DDX21	HNRNPUL1				true	false
DDX21-IGF2BP1	DDX21	IGF2BP1	false	false	false	true	false
DDX21-IGF2BP2	DDX21	IGF2BP2	false	false	false	true	false
DDX21-ILF3	DDX21	ILF3	false			true	false
DDX21-KHDRBS1	DDX21	KHDRBS1	false			true	false
DDX21-KHSRP	DDX21	KHSRP				true	false
DDX21-LARP4	DDX21	LARP4	false			true	false
DDX21-LARP7	DDX21	LARP7	false	false	false	true	false
DDX21-LIN28B	DDX21	LIN28B	false	false	false	true	false
DDX21-LSM11	DDX21	LSM11				true	false
DDX21-MATR3	DDX21	MATR3				true	false
DDX21-MBNL1	DDX21	MBNL1	false			true	false
DDX21-METAP2	DDX21	METAP2				true	false
DDX21-METTL1	DDX21	METTL1				true	false
DDX21-MORC2	DDX21	MORC2				true	false
DDX21-MTPAP	DDX21	MTPAP	false			true	false
DDX21-NCBP2	DDX21	NCBP2				true	false
DDX21-NIPBL	DDX21	NIPBL				true	false
DDX21-NOLC1	DDX21	NOLC1	false			true	false
DDX21-NONO	DDX21	NONO	false			true	false
DDX21-NPM1	DDX21	NPM1	false			true	false
DDX21-NSUN2	DDX21	NSUN2	false			true	false
DDX21-PABPC4	DDX21	PABPC4				true	false
DDX21-PCBP1	DDX21	PCBP1	false			true	false
DDX21-PHF6	DDX21	PHF6				true	false
DDX21-PPIL4	DDX21	PPIL4	false			true	false
DDX21-PRPF8	DDX21	PRPF8		false	false	true	false
DDX21-PTBP1	DDX21	PTBP1	false	false	false	true	false
DDX21-PUM1	DDX21	PUM1				true	false
DDX21-PUM2	DDX21	PUM2	false	false	false	true	false
DDX21-PUS1	DDX21	PUS1				true	false
DDX21-QKI	DDX21	QKI	false			true	false
DDX21-RBFOX2	DDX21	RBFOX2	true	false	false	true	false
DDX21-RBM15	DDX21	RBM15	false			true	false
DDX21-RBM22	DDX21	RBM22	false	false	false	true	false
DDX21-RNF187	DDX21	RNF187				true	false
DDX21-RPS10	DDX21	RPS10	false			true	false
DDX21-RPS11	DDX21	RPS11	false			true	false
DDX21-RPS3	DDX21	RPS3	false	true	true	true	false
DDX21-RPS6	DDX21	RPS6	false	false	false	true	false
DDX21-RYBP	DDX21	RYBP	false			true	false
DDX21-SAFB	DDX21	SAFB				true	false
DDX21-SAFB2	DDX21	SAFB2	false			true	false
DDX21-SBDS	DDX21	SBDS	false			true	false
DDX21-SDAD1	DDX21	SDAD1				true	false
DDX21-SERBP1	DDX21	SERBP1	false			true	false
DDX21-SF3B1	DDX21	SF3B1				true	false
DDX21-SF3B4	DDX21	SF3B4	false	false	false	true	false
DDX21-SLBP	DDX21	SLBP				true	false
DDX21-SLTM	DDX21	SLTM				true	false
DDX21-SMNDC1	DDX21	SMNDC1	false			true	false
DDX21-SND1	DDX21	SND1				true	false
DDX21-SRSF1	DDX21	SRSF1	false	false	false	true	false
DDX21-SRSF7	DDX21	SRSF7	false			true	false
DDX21-SRSF9	DDX21	SRSF9	false			true	false
DDX21-SSB	DDX21	SSB				true	false
DDX21-SUPV3L1	DDX21	SUPV3L1	false			true	false
DDX21-TAF15	DDX21	TAF15	false	false	false	true	false
DDX21-TARDBP	DDX21	TARDBP	false			true	false
DDX21-TBRG4	DDX21	TBRG4	false			true	false
DDX21-TIA1	DDX21	TIA1	false	false	false	true	false
DDX21-TRA2A	DDX21	TRA2A	false			true	false
DDX21-TROVE2	DDX21	TROVE2				true	false
DDX21-U2AF1	DDX21	U2AF1	false			true	false
DDX21-U2AF2	DDX21	U2AF2	false	false	false	true	false
DDX21-UCHL5	DDX21	UCHL5	false			true	false
DDX21-UPF1	DDX21	UPF1				true	false
DDX21-UTP18	DDX21	UTP18	false			true	false
DDX21-UTP3	DDX21	UTP3	false			true	false
DDX21-WDR3	DDX21	WDR3	false			true	false
DDX21-WDR43	DDX21	WDR43				true	false
DDX21-WRN	DDX21	WRN				true	false
DDX21-XRCC6	DDX21	XRCC6	false			true	false
DDX21-XRN2	DDX21	XRN2	false			true	false
DDX21-YBX3	DDX21	YBX3				true	false
DDX21-YWHAG	DDX21	YWHAG	false			true	false
DDX21-ZC3H11A	DDX21	ZC3H11A	false			true	false
DDX21-ZC3H8	DDX21	ZC3H8	false			true	false
DDX21-ZNF622	DDX21	ZNF622				true	false
DDX21-ZNF800	DDX21	ZNF800				true	false
DDX21-ZRANB2	DDX21	ZRANB2	false			true	false
DDX24-DDX3X	DDX24	DDX3X		false	false	true	false
DDX24-DDX42	DDX24	DDX42				true	false
DDX24-DDX43	DDX24	DDX43				true	false
DDX24-DDX47	DDX24	DDX47				true	false
DDX24-DDX51	DDX24	DDX51				true	false
DDX24-DDX52	DDX24	DDX52				true	false
DDX24-DDX55	DDX24	DDX55				true	false
DDX24-DDX6	DDX24	DDX6				true	false
DDX24-DGCR8	DDX24	DGCR8		false	false	true	false
DDX24-DHX30	DDX24	DHX30				true	false
DDX24-DROSHA	DDX24	DROSHA				true	false
DDX24-EEF2	DDX24	EEF2				true	false
DDX24-EFTUD2	DDX24	EFTUD2				true	false
DDX24-EIF3G	DDX24	EIF3G				true	false
DDX24-EIF4E	DDX24	EIF4E		false	false	true	false
DDX24-EIF4G2	DDX24	EIF4G2		false	false	true	false
DDX24-ELAC2	DDX24	ELAC2				true	false
DDX24-ELAVL1	DDX24	ELAVL1				true	false
DDX24-EWSR1	DDX24	EWSR1		false	false	true	false
DDX24-EXOSC10	DDX24	EXOSC10		false	false	true	false
DDX24-EXOSC5	DDX24	EXOSC5				true	false
DDX24-FAM120A	DDX24	FAM120A				true	false
DDX24-FASTKD2	DDX24	FASTKD2				true	false
DDX24-FMR1	DDX24	FMR1				true	false
DDX24-FTO	DDX24	FTO				true	false
DDX24-FUS	DDX24	FUS		false	false	true	false
DDX24-FXR1	DDX24	FXR1				true	false
DDX24-FXR2	DDX24	FXR2				true	false
DDX24-GARS	DDX24	GARS				true	false
DDX24-GEMIN5	DDX24	GEMIN5				true	false
DDX24-GNL3	DDX24	GNL3				true	false
DDX24-GPKOW	DDX24	GPKOW		false	false	true	false
DDX24-GRWD1	DDX24	GRWD1				true	false
DDX24-GTF2F1	DDX24	GTF2F1				true	false
DDX24-HLTF	DDX24	HLTF				true	false
DDX24-HNRNPA1	DDX24	HNRNPA1				true	false
DDX24-HNRNPC	DDX24	HNRNPC		false	false	true	false
DDX24-HNRNPK	DDX24	HNRNPK				true	false
DDX24-HNRNPL	DDX24	HNRNPL		false	false	true	false
DDX24-HNRNPM	DDX24	HNRNPM				true	false
DDX24-HNRNPU	DDX24	HNRNPU				true	false
DDX24-HNRNPUL1	DDX24	HNRNPUL1				true	false
DDX24-IGF2BP1	DDX24	IGF2BP1		false	false	true	false
DDX24-IGF2BP2	DDX24	IGF2BP2		false	false	true	false
DDX24-ILF3	DDX24	ILF3				true	false
DDX24-KHDRBS1	DDX24	KHDRBS1				true	false
DDX24-KHSRP	DDX24	KHSRP				true	false
DDX24-LARP4	DDX24	LARP4				true	false
DDX24-LARP7	DDX24	LARP7		false	false	true	false
DDX24-LIN28B	DDX24	LIN28B		false	false	true	false
DDX24-LSM11	DDX24	LSM11				true	false
DDX24-MATR3	DDX24	MATR3				true	false
DDX24-MBNL1	DDX24	MBNL1				true	false
DDX24-METAP2	DDX24	METAP2				true	false
DDX24-METTL1	DDX24	METTL1				true	false
DDX24-MORC2	DDX24	MORC2				true	false
DDX24-MTPAP	DDX24	MTPAP				true	false
DDX24-NCBP2	DDX24	NCBP2				true	false
DDX24-NIPBL	DDX24	NIPBL				true	false
DDX24-NOLC1	DDX24	NOLC1				true	false
DDX24-NONO	DDX24	NONO				true	false
DDX24-NPM1	DDX24	NPM1				true	false
DDX24-NSUN2	DDX24	NSUN2				true	false
DDX24-PABPC4	DDX24	PABPC4				true	false
DDX24-PCBP1	DDX24	PCBP1				true	false
DDX24-PHF6	DDX24	PHF6				true	false
DDX24-PPIL4	DDX24	PPIL4				true	false
DDX24-PRPF8	DDX24	PRPF8		false	false	true	false
DDX24-PTBP1	DDX24	PTBP1		false	false	true	false
DDX24-PUM1	DDX24	PUM1				true	false
DDX24-PUM2	DDX24	PUM2		false	false	true	false
DDX24-PUS1	DDX24	PUS1				true	false
DDX24-QKI	DDX24	QKI				true	false
DDX24-RBFOX2	DDX24	RBFOX2		false	false	true	false
DDX24-RBM15	DDX24	RBM15				true	false
DDX24-RBM22	DDX24	RBM22		false	false	true	false
DDX24-RNF187	DDX24	RNF187				true	false
DDX24-RPS10	DDX24	RPS10				true	false
DDX24-RPS11	DDX24	RPS11				true	false
DDX24-RPS3	DDX24	RPS3		false	false	true	false
DDX24-RPS6	DDX24	RPS6		false	false	true	false
DDX24-RYBP	DDX24	RYBP				true	false
DDX24-SAFB	DDX24	SAFB				true	false
DDX24-SAFB2	DDX24	SAFB2				true	false
DDX24-SBDS	DDX24	SBDS				true	false
DDX24-SDAD1	DDX24	SDAD1				true	false
DDX24-SERBP1	DDX24	SERBP1				true	false
DDX24-SF3B1	DDX24	SF3B1				true	false
DDX24-SF3B4	DDX24	SF3B4		false	false	true	false
DDX24-SLBP	DDX24	SLBP				true	false
DDX24-SLTM	DDX24	SLTM				true	false
DDX24-SMNDC1	DDX24	SMNDC1				true	false
DDX24-SND1	DDX24	SND1				true	false
DDX24-SRSF1	DDX24	SRSF1		false	false	true	false
DDX24-SRSF7	DDX24	SRSF7				true	false
DDX24-SRSF9	DDX24	SRSF9				true	false
DDX24-SSB	DDX24	SSB				true	false
DDX24-SUPV3L1	DDX24	SUPV3L1				true	false
DDX24-TAF15	DDX24	TAF15		false	false	true	false
DDX24-TARDBP	DDX24	TARDBP				true	false
DDX24-TBRG4	DDX24	TBRG4				true	false
DDX24-TIA1	DDX24	TIA1		false	false	true	false
DDX24-TRA2A	DDX24	TRA2A				true	false
DDX24-TROVE2	DDX24	TROVE2				true	false
DDX24-U2AF1	DDX24	U2AF1				true	false
DDX24-U2AF2	DDX24	U2AF2		false	false	true	false
DDX24-UCHL5	DDX24	UCHL5				true	false
DDX24-UPF1	DDX24	UPF1				true	false
DDX24-UTP18	DDX24	UTP18				true	false
DDX24-UTP3	DDX24	UTP3				true	false
DDX24-WDR3	DDX24	WDR3				true	false
DDX24-WDR43	DDX24	WDR43				true	false
DDX24-WRN	DDX24	WRN				true	false
DDX24-XRCC6	DDX24	XRCC6				true	false
DDX24-XRN2	DDX24	XRN2				true	false
DDX24-YBX3	DDX24	YBX3				true	false
DDX24-YWHAG	DDX24	YWHAG				true	false
DDX24-ZC3H11A	DDX24	ZC3H11A				true	false
DDX24-ZC3H8	DDX24	ZC3H8				true	false
DDX24-ZNF622	DDX24	ZNF622				true	false
DDX24-ZNF800	DDX24	ZNF800				true	false
DDX24-ZRANB2	DDX24	ZRANB2				true	false
DDX3X-DDX42	DDX3X	DDX42	false	false	false	true	false
DDX3X-DDX43	DDX3X	DDX43		false	false	true	false
DDX3X-DDX47	DDX3X	DDX47	false	false	false	true	false
DDX3X-DDX51	DDX3X	DDX51		false	false	true	false
DDX3X-DDX52	DDX3X	DDX52	false	false	false	true	true
DDX3X-DDX55	DDX3X	DDX55		false	false	true	true
DDX3X-DDX59	DDX3X	DDX59		false	false	false	true
DDX3X-DDX6	DDX3X	DDX6	false	false	false	true	true
DDX3X-DGCR8	DDX3X	DGCR8		false	false	true	true
DDX3X-DHX30	DDX3X	DHX30	false	false	false	true	true
DDX3X-DKC1	DDX3X	DKC1	false	false	false	false	true
DDX3X-DROSHA	DDX3X	DROSHA		false	false	true	true
DDX3X-EEF2	DDX3X	EEF2	false	false	false	true	false
DDX3X-EFTUD2	DDX3X	EFTUD2	false	false	false	true	true
DDX3X-EIF3D	DDX3X	EIF3D	false	false	false	false	true
DDX3X-EIF3G	DDX3X	EIF3G	false	false	false	true	false
DDX3X-EIF3H	DDX3X	EIF3H	false	false	false	false	true
DDX3X-EIF4E	DDX3X	EIF4E	false	false	false	true	false
DDX3X-EIF4G2	DDX3X	EIF4G2		false	false	true	false
DDX3X-ELAC2	DDX3X	ELAC2	false	false	false	true	false
DDX3X-ELAVL1	DDX3X	ELAVL1	false	false	false	true	false
DDX3X-EWSR1	DDX3X	EWSR1	false	false	false	true	false
DDX3X-EXOSC10	DDX3X	EXOSC10		false	false	true	false
DDX3X-EXOSC5	DDX3X	EXOSC5	false	false	false	true	true
DDX3X-FAM120A	DDX3X	FAM120A	false	false	false	true	true
DDX3X-FASTKD2	DDX3X	FASTKD2	false	false	false	true	true
DDX3X-FKBP4	DDX3X	FKBP4	false	false	false	false	true
DDX3X-FMR1	DDX3X	FMR1	false	false	false	true	false
DDX3X-FTO	DDX3X	FTO		false	false	true	true
DDX3X-FUBP3	DDX3X	FUBP3	false	false	false	false	true
DDX3X-FUS	DDX3X	FUS	false	false	false	true	true
DDX3X-FXR1	DDX3X	FXR1	false	false	false	true	false
DDX3X-FXR2	DDX3X	FXR2	false	false	false	true	true
DDX3X-G3BP1	DDX3X	G3BP1	false	false	false	false	true
DDX3X-GARS	DDX3X	GARS		false	false	true	false
DDX3X-GEMIN5	DDX3X	GEMIN5		false	false	true	false
DDX3X-GNL3	DDX3X	GNL3	false	false	false	true	false
DDX3X-GPKOW	DDX3X	GPKOW		false	false	true	false
DDX3X-GRSF1	DDX3X	GRSF1		false	false	false	true
DDX3X-GRWD1	DDX3X	GRWD1		false	false	true	true
DDX3X-GTF2F1	DDX3X	GTF2F1	false	false	false	true	true
DDX3X-HLTF	DDX3X	HLTF		false	false	true	true
DDX3X-HNRNPA1	DDX3X	HNRNPA1	false	false	false	true	true
DDX3X-HNRNPC	DDX3X	HNRNPC	false	false	false	true	true
DDX3X-HNRNPK	DDX3X	HNRNPK	false	false	false	true	true
