Feature	Statistic	P-Val	RBP	Position	FDR P-Val
SRSF1_center_left_shap	339.2164044057921	5.0602647940343045e-148	SRSF1	3	8.089296536942163e-148
ZNF800_3_left_shap	330.7349078990327	2.434759377152036e-144	ZNF800	5	3.878528972726401e-144
UPF1_3_left_shap	327.03624781102263	9.823282465781025e-143	UPF1	5	1.5593602235890158e-142
EIF3D_3_right_shap	325.4269014448909	4.908717277108173e-142	EIF3D	6	7.765009211871465e-142
MATR3_center_right_shap	316.59480248029905	3.3536518649363144e-138	MATR3	4	5.2866595370871066e-138
FUBP3_center_right_shap	313.73984354192766	5.821512049027373e-137	FUBP3	4	9.145212699856151e-137
U2AF1_5_left_shap	310.78560709679255	1.1159887840333299e-135	U2AF1	1	1.7470996825901098e-135
KHSRP_3_right_shap	300.5341957311568	3.1512654329628436e-131	KHSRP	6	4.916407239055433e-131
GTF2F1_3_right_shap	297.042141215701	1.0342607319555805e-129	GTF2F1	6	1.6080629188624438e-129
AKAP1_5_left_shap	289.65607636388455	1.6651524785453565e-126	AKAP1	1	2.5801338746061156e-126
UPF1_center_right_shap	289.07758139306344	2.969076572188636e-126	UPF1	4	4.5849005570532e-126
NKRF_3_left_shap	282.0596282627486	3.3085999081598155e-123	NKRF	5	5.0918791806934106e-123
SRSF9_3_left_shap	280.053527873037	2.4583716309977454e-122	SRSF9	5	3.770610542138434e-122
TARDBP_3_right_shap	277.3230653013063	3.7683839096542697e-121	TARDBP	6	5.760425235633127e-121
CDC40_3_right_shap	276.54801818385005	8.178324696892893e-121	CDC40	6	1.2459595343588501e-120
HNRNPU_center_left_shap	271.1792309641537	1.7526131552488915e-118	HNRNPU	3	2.661158436397982e-118
UPF1_center_left_shap	270.87841593939186	2.367523968210836e-118	UPF1	3	3.5828529385590653e-118
TARDBP_3_left_shap	270.72212041535744	2.767929495403468e-118	TARDBP	5	4.1748836907414435e-118
NCBP2_center_right_shap	270.7040975150763	2.818254672652036e-118	NCBP2	4	4.236713978092797e-118
ZNF800_3_right_shap	270.08758338631065	5.219866843502304e-118	ZNF800	6	7.8211866235975125e-118
UPF1_3_right_shap	268.998940522007	1.5499892455003705e-117	UPF1	6	2.3147865705827902e-117
FASTKD2_3_right_shap	267.9481633710457	4.431571882683675e-117	FASTKD2	6	6.596503720453733e-117
IGF2BP3_3_left_shap	260.7124610542077	6.140249917233826e-114	IGF2BP3	5	9.110043994850186e-114
DDX55_5_right_shap	260.58757748972425	6.956787230320927e-114	DDX55	2	1.028788730477427e-113
SMNDC1_3_left_shap	253.01611173832185	1.3484782163692276e-110	SMNDC1	5	1.9876919163364588e-110
IGF2BP1_3_left_shap	250.6518546260752	1.4334400580160778e-109	IGF2BP1	5	2.1060899234281532e-109
LARP4_3_left_shap	248.8536517182397	8.652506000511222e-109	LARP4	5	1.267173459429708e-108
PCBP2_3_right_shap	248.314963623273	1.4826387640590931e-108	PCBP2	6	2.1643665558933387e-108
FKBP4_3_right_shap	242.61451878356507	4.427145034169779e-106	FKBP4	6	6.442063607413717e-106
XPO5_5_left_shap	239.17521868274164	1.3786289838999117e-104	XPO5	1	1.9996727114714373e-104
U2AF1_3_left_shap	238.59581040155632	2.460500857407677e-104	U2AF1	5	3.557539456251864e-104
ZC3H11A_5_right_shap	234.81838831127965	1.0743958607856864e-102	ZC3H11A	2	1.5484943517355609e-102
RBFOX2_3_right_shap	234.40660075304052	1.6216648906024522e-102	RBFOX2	6	2.329860317511118e-102
PTBP1_5_left_shap	232.59226609979723	9.948097335304708e-102	PTBP1	1	1.4247432776745543e-101
ZNF800_5_right_shap	230.86869909965455	5.573258065362385e-101	ZNF800	2	7.956789816586549e-101
HNRNPL_5_left_shap	229.1398384004591	3.138904028011163e-100	HNRNPL	1	4.467280340805856e-100
EFTUD2_3_right_shap	228.3096063813886	7.198865428022154e-100	EFTUD2	6	1.021339032600643e-99
CDC40_5_right_shap	224.07663305351656	4.957033398120895e-98	CDC40	2	7.01088212693734e-98
