Cell Line	Column	Column Type	RBP 1	Position 1	RBP 2	Position 2	# UBPs - Signed-Local-SHAP-Mean-Bound-Only	Value - Signed-Local-SHAP-Mean-Bound-Only	PPI	Abs. SHAP Value	RBP_PAIR
HepG2	SF3B4_3-SLTM_3-interaction-shap	interaction	SF3B4	3	SLTM	3	23	-0.3028051555156708	false	0.3028051555156708	SF3B4-SLTM
HepG2	PRPF8_4-PTBP1_6-interaction-shap	interaction	PRPF8	4	PTBP1	6	66	-0.3027813732624054	false	0.3027813732624054	PRPF8-PTBP1
HepG2	STAU2_1-SF3B4_3-interaction-shap	interaction	STAU2	1	SF3B4	3	34	-0.30227744579315186	false	0.30227744579315186	SF3B4-STAU2
HepG2	SUPV3L1_3-RBM22_5-interaction-shap	interaction	SUPV3L1	3	RBM22	5	5	0.3003719747066498	false	0.3003719747066498	RBM22-SUPV3L1
HepG2	IGF2BP3_1-RPS3_1-interaction-shap	interaction	IGF2BP3	1	RPS3	1	200	0.2953799366950989	false	0.2953799366950989	IGF2BP3-RPS3
HepG2	PCBP1_4-RPS3_4-interaction-shap	interaction	PCBP1	4	RPS3	4	214	-0.294046550989151	false	0.294046550989151	PCBP1-RPS3
HepG2	RBM22_2-G3BP1_3-interaction-shap	interaction	RBM22	2	G3BP1	3	291	-0.2939441502094269	false	0.2939441502094269	G3BP1-RBM22
HepG2	HNRNPL_1-PRPF8_6-interaction-shap	interaction	HNRNPL	1	PRPF8	6	28	0.29183855652809143	false	0.29183855652809143	HNRNPL-PRPF8
HepG2	SF3B4_3-RBFOX2_5-interaction-shap	interaction	SF3B4	3	RBFOX2	5	368	-0.29114511609077454	false	0.29114511609077454	RBFOX2-SF3B4
HepG2	SF3B4_1-SND1_2-interaction-shap	interaction	SF3B4	1	SND1	2	608	0.2898242771625519	false	0.2898242771625519	SF3B4-SND1
HepG2	BUD13_2-PCBP1_2-interaction-shap	interaction	BUD13	2	PCBP1	2	43	0.28784844279289246	false	0.28784844279289246	BUD13-PCBP1
HepG2	DDX52_2-HNRNPC_6-interaction-shap	interaction	DDX52	2	HNRNPC	6	2	-0.28633999824523926	false	0.28633999824523926	DDX52-HNRNPC
HepG2	AQR_3-BUD13_5-interaction-shap	interaction	AQR	3	BUD13	5	1323	-0.2843020558357239	false	0.2843020558357239	AQR-BUD13
HepG2	SRSF1_2-SRSF9_6-interaction-shap	interaction	SRSF1	2	SRSF9	6	42	0.28226906061172485	false	0.28226906061172485	SRSF1-SRSF9
HepG2	EFTUD2_3-RBM22_4-interaction-shap	interaction	EFTUD2	3	RBM22	4	440	-0.27562206983566284	false	0.27562206983566284	EFTUD2-RBM22
HepG2	IGF2BP3_1-TIA1_2-interaction-shap	interaction	IGF2BP3	1	TIA1	2	44	0.2755544185638428	false	0.2755544185638428	IGF2BP3-TIA1
HepG2	DDX3X_3-HNRNPM_4-interaction-shap	interaction	DDX3X	3	HNRNPM	4	50	0.2743925452232361	false	0.2743925452232361	DDX3X-HNRNPM
HepG2	QKI_3-U2AF2_3-interaction-shap	interaction	QKI	3	U2AF2	3	103	-0.2728436589241028	false	0.2728436589241028	QKI-U2AF2
HepG2	CSTF2T_3-NCBP2_5-interaction-shap	interaction	CSTF2T	3	NCBP2	5	1	-0.2696668207645416	false	0.2696668207645416	CSTF2T-NCBP2
HepG2	RPS3_4-SND1_4-interaction-shap	interaction	RPS3	4	SND1	4	2254	-0.2693205177783966	false	0.2693205177783966	RPS3-SND1
HepG2	SF3A3_3-SF3B4_3-interaction-shap	interaction	SF3A3	3	SF3B4	3	3425	-0.2689610421657562	false	0.2689610421657562	SF3A3-SF3B4
HepG2	BUD13_6-PCBP2_6-interaction-shap	interaction	BUD13	6	PCBP2	6	26	-0.26650238037109375	false	0.26650238037109375	BUD13-PCBP2
HepG2	RBFOX2_2-IGF2BP1_6-interaction-shap	interaction	RBFOX2	2	IGF2BP1	6	54	-0.261077880859375	false	0.261077880859375	IGF2BP1-RBFOX2
HepG2	DDX3X_1-RBM22_3-interaction-shap	interaction	DDX3X	1	RBM22	3	22	-0.2595093548297882	false	0.2595093548297882	DDX3X-RBM22
HepG2	KHSRP_4-LIN28B_6-interaction-shap	interaction	KHSRP	4	LIN28B	6	14	-0.25640034675598145	false	0.25640034675598145	KHSRP-LIN28B
HepG2	PRPF8_1-FXR2_5-interaction-shap	interaction	PRPF8	1	FXR2	5	21	-0.2550186514854431	false	0.2550186514854431	FXR2-PRPF8
HepG2	XPO5_2-HNRNPM_3-interaction-shap	interaction	XPO5	2	HNRNPM	3	5	-0.2534303069114685	false	0.2534303069114685	HNRNPM-XPO5
HepG2	DDX59_2-U2AF2_5-interaction-shap	interaction	DDX59	2	U2AF2	5	71	-0.25015610456466675	false	0.25015610456466675	DDX59-U2AF2
HepG2	PTBP1_3-SDAD1_3-interaction-shap	interaction	PTBP1	3	SDAD1	3	18	0.2492247074842453	false	0.2492247074842453	PTBP1-SDAD1
HepG2	SLTM_4-DGCR8_6-interaction-shap	interaction	SLTM	4	DGCR8	6	21	0.2469668835401535	false	0.2469668835401535	DGCR8-SLTM
HepG2	BUD13_3-PRPF4_3-interaction-shap	interaction	BUD13	3	PRPF4	3	758	-0.24618692696094513	false	0.24618692696094513	BUD13-PRPF4
HepG2	RPS3_2-U2AF2_4-interaction-shap	interaction	RPS3	2	U2AF2	4	66	0.24410349130630493	false	0.24410349130630493	RPS3-U2AF2
HepG2	PRPF8_4-SUB1_4-interaction-shap	interaction	PRPF8	4	SUB1	4	519	-0.24399495124816895	false	0.24399495124816895	PRPF8-SUB1
HepG2	CSTF2T_2-RBFOX2_4-interaction-shap	interaction	CSTF2T	2	RBFOX2	4	76	0.2427794337272644	false	0.2427794337272644	CSTF2T-RBFOX2
HepG2	LARP4_3-RPS3_3-interaction-shap	interaction	LARP4	3	RPS3	3	605	-0.24262721836566925	false	0.24262721836566925	LARP4-RPS3
HepG2	BUD13_5-FUBP3_6-interaction-shap	interaction	BUD13	5	FUBP3	6	38	-0.24199306964874268	false	0.24199306964874268	BUD13-FUBP3
HepG2	CSTF2T_3-SLTM_3-interaction-shap	interaction	CSTF2T	3	SLTM	3	32	0.23906724154949188	false	0.23906724154949188	CSTF2T-SLTM
HepG2	RBM22_2-SUGP2_4-interaction-shap	interaction	RBM22	2	SUGP2	4	8	0.23707886040210724	false	0.23707886040210724	RBM22-SUGP2
HepG2	DDX3X_1-G3BP1_6-interaction-shap	interaction	DDX3X	1	G3BP1	6	342	-0.23607461154460907	false	0.23607461154460907	DDX3X-G3BP1
